Account_Number,Customer_Name,Amount_Financed,Product_Description,Currency,Value_Date,Maturity_Date,Interest_Rate,Principal_os_amount,Principal_Overdue_Amount,Interest_Overdue_Amount,Overdue_Days,Branch_Code,PRINCIPAL_INSTALLMENTS,CR_ACC
2517148210,Wanjiku,53170819,Staff,KES,2021-05-29,2023-04-30,13.19,47565560.15,19909377.19,1658246.44,142,QR90ST,3229578.26,268110001
3266409269,Njeri,76251995,Retail,KES,2022-06-19,2023-08-19,12.62,78383579.38,76717394.84,2093938.06,62,EF34GH,2648570.45,268110002
4202450903,Wanjiku,46738690,Term Loan,KES,2021-05-30,2023-04-25,13.78,49779085.19,57792453.56,3479381.7,63,OP12QR,1743709.72,268110056
3963117634,Mwangi,23709761,Retail,KES,2021-01-25,2023-08-29,11.08,33013268.82,84201802.72,5825339.69,164,WX56YZ,3080643.02,268110056
8744795543,Muthoni,37618968,Corporate,KES,2023-04-17,2023-05-02,10.47,117387829.8,56081010.42,210104.78,260,MN78OP,3447079.66,268110003
6582179100,Omondi,60266290,Retail,KES,2023-08-18,2023-01-01,13.56,80835749.19,44798357.35,9715084.29,14,WX56YZ,2117172.07,268110001
2003016747,Wanjiku,41320004,Retail,KES,2021-02-14,2023-04-16,15.49,101551786.7,22729475.76,9155228.25,67,EF34GH,2411764.05,268110000
3271340886,Mwangi,9609491,Corporate,KES,2022-03-17,2023-09-08,14.98,49452839.02,32341937.12,2198899.21,182,AB78CD,2993078.83,268110056
2883340959,Auma,96675878,Term Loan,KES,2021-11-15,2023-04-26,12.3,74016864.93,56619130.76,9866603.19,21,YZ34AB,1589168.99,268110001
6872155565,Odhiambo,6004255,Corporate,KES,2022-08-14,2022-12-17,11.56,19224479.13,73666272.35,4358606.53,65,CD56EF,880948.05,268110056
6498286780,Muthoni,72328376,Corporate,KES,2022-07-02,2023-08-19,13.4,116815020.6,39075482.18,1720770.88,304,WX56YZ,1996704.28,268110004
865032763,Odhiambo,31025075,Retail,KES,2021-10-29,2023-08-13,11.19,5773964.13,91858350.15,9685864.84,281,OP12QR,1384655.35,268110002
4780194984,Auma,118028391,Corporate,KES,2023-08-16,2023-08-07,11,84285704.76,104885684.9,3334821.75,195,OP12QR,1427874.14,268110001
4147142243,Ochieng,45485554,Corporate,KES,2022-01-22,2023-04-26,13.79,35943740.35,39377001.33,7765869.94,237,CD56EF,527956.51,268110004
5775414150,Odhiambo,92780828,Retail,KES,2021-12-22,2023-03-02,14.38,91725424.79,106390938.4,4285537.87,159,CD56EF,2808448.53,268110005
4811455549,Kamau,42257503,Asset Finance,KES,2023-04-28,2023-05-16,12.41,31006471.31,44138369.66,4530531.2,160,EF34GH,1953452.85,268110005
6015393793,Wanjiku,15392594,Corporate,USD,2022-10-16,2023-01-01,13.07,18743731.94,95697220.83,9173869.11,156,MN78OP,1235406.29,268110000
9838705188,Ochieng,90437582,Asset Finance,KES,2022-01-05,2023-06-05,15.68,31311781.07,52932509.06,2224313.35,121,OP12QR,2218819.31,268110005
9978219384,Achieng,11662513,Asset Finance,USD,2021-09-14,2023-04-07,13.81,57669225.25,49236091.42,3983094.16,101,EF34GH,2825683.69,268110056
6431581684,Odhiambo,41433905,Term Loan,KES,2022-10-29,2023-03-30,14.8,99051097.49,63207834.92,4362099.68,68,OP12QR,1318595.23,268110002
7322284037,Njeri,3754140,Corporate,KES,2022-07-01,2023-01-30,11.08,96278549.12,13923539.22,4779334.47,182,IJ56KL,2701527.24,268110002
106221139,Achieng,60555288,Asset Finance,KES,2022-09-27,2023-03-26,15.53,29098543.84,102636921,6746359.85,32,WX56YZ,2464920.26,268110000
5164559743,Muthoni,65480499,Retail,KES,2021-04-01,2023-05-07,14.71,27411140.95,85268922.07,6903737.46,106,EF90GH,1095162.67,268110001
2022572151,Omondi,57342773,Corporate,USD,2021-06-07,2022-12-16,12.36,90154785.22,73765996.79,5190228.94,26,OP12QR,1079129.08,268110001
7678171317,Muthoni,48666398,Retail,KES,2022-06-14,2023-04-06,9.9,91394677.64,15135948.06,7534433.73,39,EF90GH,961806.6,268110001
516689305,Njeri,47601948,Term Loan,KES,2022-07-13,2023-01-19,14.36,56486682.62,29403717.51,3275207.55,104,OP12QR,2219901.39,268110056
6169575896,Ochieng,39853159,Term Loan,KES,2021-11-19,2023-01-07,11.17,11645673.77,61764497.61,9239985.23,90,WX56YZ,2834637.73,268110003
3854825792,Njeri,17747784,Asset Finance,KES,2021-03-26,2023-02-03,10.66,3511853.55,27038081.66,770768.46,180,CD56EF,1725502.23,268110005
7314820871,Kamau,53817083,Staff,KES,2022-06-22,2022-12-28,12.64,48271410.36,44073038.71,4603037.04,4,WX56YZ,3489801.33,268110003
793437115,Mwangi,32034912,Corporate,KES,2021-02-27,2023-04-17,11.43,111339016.9,63801721.76,1804324.17,89,IJ56KL,1030773.89,268110005
4482226276,Muthoni,117741256,Asset Finance,KES,2022-03-23,2023-01-01,10.19,46082339.98,75367689.91,2238579.49,162,WX56YZ,831282.04,268110000
3589341328,Muthoni,46502575,Term Loan,KES,2023-08-09,2023-03-20,12.87,85559290.29,53267830.45,932692.89,111,EF34GH,326282.6,268110004
4761824208,Mwangi,105589717,Asset Finance,KES,2021-05-06,2023-08-16,13.79,88397816.82,50958495.55,1274445.81,287,EF90GH,1568243.68,268110000
8176104118,Njeri,7637041,Retail,KES,2023-06-25,2023-03-24,15.8,100783398.5,63755134.32,8593916.42,193,AB12CD,744652.6,268110001
8901293973,Auma,42750456,Retail,KES,2022-10-31,2023-03-15,12.19,56746575.16,16071353.71,8423025.65,125,KL90MN,1550554.75,268110000
2680326512,Kamau,7824910,Term Loan,USD,2021-01-31,2023-08-13,10.51,109704994.5,49445845.84,3821088.47,61,OP12QR,3328734.95,268110001
5759185805,Muthoni,29253929,Term Loan,KES,2022-05-10,2022-12-29,10.78,34764548.61,116638097,6343462.78,174,OP12QR,2639430.67,268110003
7464033417,Ochieng,78402918,Corporate,KES,2023-08-10,2023-04-15,13.91,81935187.6,29758648.21,9844316.28,106,AB12CD,771587.1,268110005
6008518240,Muthoni,20410505,Corporate,KES,2023-01-09,2023-04-07,10,92242158.23,97992238.78,9776116.55,175,MN78OP,649438.2,268110002
9408466155,Mwangi,82212208,Asset Finance,KES,2021-01-13,2023-03-11,11.68,2073632.91,101302478.3,5382749.36,273,WX56YZ,3308114.3,268110001
4912873205,Ochieng,48697015,Retail,KES,2021-04-27,2023-06-25,14.56,36191668.72,23873121.17,4746366.38,152,OP12QR,71815.05,268110005
616539584,Odhiambo,89603456,Corporate,KES,2023-07-13,2023-03-05,11.5,99073313.17,113833041.5,3128808.2,75,WX56YZ,2390900.99,268110056
1390367259,Muthoni,25494032,Term Loan,KES,2021-11-03,2022-12-24,13.51,93374161.16,25576065.65,2687668.13,51,WX56YZ,2105133.65,268110005
2660231908,Ochieng,87668820,Staff,KES,2023-08-14,2023-03-18,11.47,45570717.97,94830572.16,8478658.56,223,OP12QR,1402754.58,268110003
6485746027,Njeri,50959838,Corporate,KES,2023-04-09,2023-07-03,15.87,54592013.89,39205692.06,6322947.96,315,EF34GH,2874181.02,268110004
4798067716,Omondi,110155528,Retail,KES,2022-07-18,2023-02-17,15.47,95271680.1,41321101.83,9554847.14,245,MN78OP,631502.59,268110056
9065525000,Wanjiku,62346325,Asset Finance,KES,2021-11-12,2023-03-03,15.31,108250652.4,86026153.02,4608283.72,36,WX56YZ,742512.52,268110000
363012359,Ochieng,8959078,Asset Finance,KES,2021-02-07,2022-12-24,13.2,10058579.84,110200017,6357203.16,176,OP12QR,1672731.03,268110003
6099498483,Auma,53597421,Retail,KES,2021-12-05,2023-07-05,11.62,68136486.4,51895728.36,5261628.39,196,OP12QR,1506202.81,268110002
297432745,Muthoni,44986311,Corporate,KES,2023-03-04,2023-09-11,15.4,118717831.7,64061677.22,8354311.03,360,OP12QR,3006844.74,268110000
6863533124,Muthoni,105480223,Corporate,KES,2023-03-03,2023-07-07,15.94,98368190.69,73444919.85,9373094.17,25,OP12QR,2643762.97,268110005
3245159794,Kamau,51880288,Retail,KES,2023-01-06,2023-06-02,14.25,57250996.49,90785816.33,7895601.61,188,CD56EF,883302.58,268110003
6295481550,Odhiambo,27206533,Corporate,KES,2021-02-13,2023-06-25,9.03,26064012.89,73950008.07,2738530.09,101,YZ34AB,1465940.63,268110002
2848195423,Achieng,19370099,Corporate,KES,2021-09-28,2023-02-02,11.89,74771451.31,64364107.92,790288.27,357,MN78OP,740428.36,268110000
9178185452,Mwangi,79097456,Asset Finance,KES,2023-08-08,2023-08-17,15.52,59075468.48,91445806.25,2748884.43,99,OP12QR,1893767.36,268110005
1126562464,Odhiambo,104553190,Term Loan,KES,2022-07-29,2023-04-26,15.06,15667120.36,48167781.86,6686705.56,291,EF34GH,3206180.95,268110005
570506882,Odhiambo,88421447,Staff,KES,2021-08-22,2023-05-09,11.96,82671943.42,94198973.5,5946960.26,148,WX56YZ,3345030.99,268110056
6624967905,Ochieng,40258257,Corporate,KES,2022-02-25,2023-04-06,11.99,60198959.63,50549928.16,6109128.47,161,MN78OP,889712.68,268110004
7401454609,Auma,72298546,Corporate,USD,2022-05-08,2023-03-26,14.12,40076180.2,59022117.02,2148449.49,363,OP12QR,716240.45,268110000
6788151731,Omondi,24468289,Term Loan,KES,2023-03-25,2023-05-17,12.67,43096429.06,75938230.33,6506665.97,305,KL90MN,532891.19,268110002
2199976753,Kamau,10234963,Asset Finance,KES,2023-06-09,2023-07-05,13.24,82801801.13,5850587.57,6415358.38,358,MN78OP,2356829.83,268110002
7353265285,Auma,40162050,Retail,KES,2022-10-26,2023-03-21,14.9,32313971.9,50095986.26,6190970.65,221,WX56YZ,3181690.31,268110002
9381464467,Muthoni,14532080,Asset Finance,KES,2021-02-10,2023-03-29,11.36,41382554.88,80477309.24,686187.07,63,CD56EF,196822.86,268110001
2704661884,Muthoni,86689981,Asset Finance,KES,2022-07-05,2023-09-01,15.46,17427483.49,33994200.07,3984015.73,78,QR90ST,2326511.54,268110003
5108885156,Odhiambo,15878494,Retail,KES,2022-12-14,2023-07-14,13.8,111009773,2732461.68,4807943.34,296,WX56YZ,2981938.13,268110003
2984450898,Omondi,7634996,Corporate,KES,2021-03-05,2023-08-19,11.81,93750570.82,118146563.7,1585124.09,304,CD56EF,1964223.76,268110001
2496860053,Achieng,12310610,Asset Finance,KES,2022-09-03,2023-07-30,15.67,31191152.83,31682412.93,3876092.35,75,KL90MN,1327984.62,268110003
5189685909,Ochieng,34331499,Asset Finance,KES,2022-12-15,2023-03-24,9.33,31978757.6,110162130.7,9436458.17,14,EF90GH,394271.34,268110003
7774701446,Omondi,36688812,Staff,KES,2021-11-05,2023-08-20,14.01,82212573.63,99565741.77,9648388.64,290,CD56EF,788569.41,268110005
9085548748,Odhiambo,40540044,Retail,KES,2023-01-13,2023-08-09,12.62,97124158.56,109426646.7,7489831.62,110,OP12QR,2217013.74,268110000
8464693888,Achieng,35815136,Corporate,KES,2023-05-17,2023-01-19,9.95,83071309.14,81277179.69,8591536.16,306,CD56EF,685543.59,268110056
3943250533,Wanjiku,46743481,Corporate,USD,2021-07-05,2023-04-03,15.61,30261849.78,68146588.7,7501038.32,147,QR90ST,3117025.83,268110005
597949990,Odhiambo,70686672,Asset Finance,KES,2021-05-19,2023-02-26,14.26,89207057.52,117307888.7,4374224.29,92,QR90ST,261392.06,268110002
2241323749,Ochieng,87756509,Retail,KES,2023-08-11,2023-09-03,13.26,110215760.5,85799010.85,2260991.96,196,WX56YZ,2085839.07,268110001
8138562600,Omondi,31469949,Retail,KES,2022-11-17,2023-06-03,15.07,59942328,48848118.16,9524127.43,334,OP12QR,2097018.88,268110005
226216925,Achieng,67030431,Asset Finance,USD,2022-07-24,2023-05-10,11.27,51762199.6,41743558.26,8046088.26,211,WX56YZ,1612122.92,268110001
5514766513,Omondi,65909960,Retail,KES,2021-06-01,2023-08-05,13.57,16336304.16,41296928.77,5930300.8,87,OP12QR,1426183.81,268110056
1690432491,Muthoni,58582044,Retail,KES,2021-02-24,2023-06-07,10.77,68304176.19,21439199.93,776616.79,128,CD56EF,1119491.03,268110005
5046252779,Muthoni,75439475,Term Loan,KES,2023-04-03,2023-03-27,13.02,98577476.86,48672580.43,9660584.12,296,WX56YZ,1362644.21,268110003
1589984635,Achieng,86687202,Corporate,KES,2023-05-10,2023-07-16,14.02,19568192.08,109077186.7,164829.17,302,WX56YZ,707447.65,268110056
4282839974,Odhiambo,103792746,Retail,USD,2021-01-10,2023-09-10,14.78,99773379.08,98430875.15,8849115.48,23,MN78OP,3218932.78,268110001
5791854267,Njeri,90318118,Retail,KES,2023-05-11,2023-01-05,11.19,62695328.21,8358373.55,5305819.69,52,OP12QR,1101776.32,268110003
1626157952,Muthoni,14091868,Retail,KES,2022-01-27,2023-09-03,10.62,9880297.17,51737765.14,9138582.16,21,OP12QR,2821837.69,268110004
2956494087,Kamau,88252623,Corporate,KES,2022-08-14,2023-04-13,11.97,84815669.34,7712201.91,1914670.94,202,OP12QR,2483143.31,268110001
4806429872,Wanjiku,94870754,Asset Finance,KES,2021-06-19,2023-03-01,11.02,51358806.16,78186520.76,295134.53,362,CD56EF,2848770.56,268110004
3601535826,Ochieng,104562367,Asset Finance,KES,2023-05-29,2023-08-18,12.31,73600549.91,7134879.87,6968603.71,26,OP12QR,66540.86,268110004
1019764151,Muthoni,32515926,Corporate,KES,2021-12-19,2023-09-04,14.23,85455293.41,59667154.33,6000410.86,275,EF34GH,2105583.02,268110002
4465795197,Odhiambo,45500177,Term Loan,KES,2023-04-19,2023-04-14,14.32,57347824.48,25363707.84,1725684.52,166,EF34GH,325649.94,268110056
7364079045,Mwangi,94092207,Asset Finance,USD,2022-10-30,2023-02-17,14.51,5142689.5,93651961.01,9228557.06,52,WX56YZ,3461273.25,268110000
9135577353,Auma,54020337,Corporate,KES,2023-03-22,2023-04-20,9.89,82432941.99,24899887.61,8231989.26,347,OP12QR,2319289.45,268110003
9262804475,Achieng,88371743,Asset Finance,KES,2022-04-17,2023-01-16,14.29,7189171.88,1332950.26,8637346.71,157,YZ34AB,2666836.15,268110000
2330366698,Auma,33629360,Retail,KES,2023-07-10,2023-07-19,15.22,106259171.4,83313928.91,8139410.33,72,CD56EF,705441.91,268110005
4341197965,Wanjiku,9277783,Retail,KES,2021-03-25,2023-08-03,10.01,11073228.6,61613866.7,3636624.57,91,KL90MN,2052613.24,268110001
5724741283,Njeri,94373691,Asset Finance,KES,2022-09-21,2023-08-21,15.55,57498935.54,119237982.1,2715796.3,34,WX56YZ,36286.43,268110005
1656108265,Kamau,51241779,Corporate,KES,2021-01-09,2023-04-01,12.83,85450020.91,55248930.67,6434012.18,145,WX56YZ,2132312.1,268110005
4037519051,Achieng,70118038,Retail,KES,2023-06-24,2023-07-07,15.09,100559462.9,30661732.24,6239927.55,355,CD56EF,206623.47,268110056
1039386318,Njeri,76262249,Staff,KES,2023-07-30,2023-04-22,12.52,46993350.81,23605881.6,9348204.83,65,WX56YZ,1928231.38,268110001
1571895588,Mwangi,93073255,Corporate,KES,2023-03-30,2023-01-06,15.91,83680915.97,71200303.43,8645013.57,52,OP12QR,1012525.42,268110056
997330747,Achieng,112178221,Corporate,KES,2023-06-15,2023-06-02,10.03,73946803.49,36662664.7,5998502.95,202,EF90GH,1755471.52,268110001
7475303019,Wanjiku,109407285,Retail,KES,2022-05-06,2022-12-25,11.64,60564032.19,36607719.43,6436407.97,305,IJ56KL,445480.7,268110000
4278388502,Wanjiku,9287588,Staff,KES,2021-12-13,2023-02-01,15.52,24796614.62,107296078.9,9718451.63,127,CD56EF,2467552.16,268110001
30748245,Muthoni,28096477,Asset Finance,KES,2023-01-04,2023-01-24,10.66,64330042.35,7212771.73,9678979.62,16,IJ56KL,3318535.19,268110003
8517575456,Auma,61049490,Retail,KES,2022-04-16,2023-06-06,14.09,56047330.18,66065365.61,4090730.22,79,WX56YZ,1100626.96,268110004
1633444666,Njeri,5253552,Retail,KES,2022-08-25,2023-06-13,10.4,25913484.11,1406507.31,2103449.31,291,OP12QR,2520285.87,268110003
5345129830,Wanjiku,97983223,Asset Finance,USD,2021-12-04,2023-01-27,12.82,56568175.86,59645695.28,1431077.31,233,WX56YZ,2674351.57,268110005
6059080905,Muthoni,102322492,Retail,KES,2021-07-01,2023-03-24,10.36,8031246.29,5587542.95,4820318.31,289,WX56YZ,1479584.55,268110056
8626524997,Muthoni,34353784,Retail,KES,2023-09-12,2023-09-11,12.72,50068270.24,113350030.6,6068232.79,335,EF34GH,3309246.47,268110002
8497009800,Njeri,41214282,Retail,KES,2023-01-25,2023-07-28,9.58,97837600.73,3649554.36,8404243.49,57,AB78CD,1110589.44,268110056
9859671421,Mwangi,62149178,Corporate,KES,2023-01-19,2023-05-01,9.42,18934885.35,34082611.37,693003.17,108,IJ56KL,3305836.84,268110056
8804813936,Njeri,86597967,Retail,KES,2021-02-05,2023-07-30,13.78,73342113.12,67384433.2,2219079.7,315,WX56YZ,1871517.17,268110056
2958566615,Njeri,53962408,Corporate,KES,2021-06-28,2023-03-08,13.69,11092465.28,103256864.1,1313643.7,217,OP12QR,1780854.1,268110005
3312862197,Achieng,99184283,Asset Finance,KES,2021-03-29,2023-04-18,14.47,3882196.81,25121568.53,582471.59,167,AB12CD,362667.2,268110001
7698197866,Auma,74422459,Corporate,KES,2021-02-27,2023-03-06,13.78,6858231.91,4660914.32,2020036.82,85,OP12QR,3045618.24,268110000
5181461935,Wanjiku,5773857,Asset Finance,USD,2023-09-11,2023-03-06,13.63,58939883.22,88024616.27,6907719.95,331,CD56EF,846000.73,268110003
7775985699,Odhiambo,114751604,Retail,KES,2021-12-09,2023-07-14,11.96,105472574,93538337.62,592316.77,139,EF34GH,718671.68,268110056
5730297924,Odhiambo,64808018,Retail,KES,2022-04-22,2023-02-11,12.15,111051975.2,116548553.5,7902479.27,75,EF90GH,2993688.99,268110002
2144992455,Kamau,96278079,Term Loan,KES,2023-03-12,2023-02-02,9.96,85207770.73,26823741.89,8082407.54,332,OP12QR,531170.55,268110002
9414389129,Kamau,3903311,Retail,USD,2023-05-02,2023-05-25,10,77213080.94,78526176.43,1677394.47,83,OP12QR,3335468.12,268110003
4580599390,Auma,4840827,Asset Finance,KES,2023-02-20,2023-01-15,12.88,22195332.16,110514815.1,6672308.14,282,OP12QR,373649.83,268110000
966762329,Achieng,7033840,Corporate,KES,2021-07-13,2023-03-08,14.83,28820718.62,51224979.11,2838478.43,124,YZ34AB,1404705.63,268110056
3843319856,Wanjiku,20084245,Retail,KES,2023-01-09,2023-03-11,11.12,77446559.8,86501342.93,5347753.67,213,OP12QR,1239466.9,268110004
5679084023,Omondi,102926902,Term Loan,KES,2022-02-23,2023-08-24,10.12,88519028.59,90650356.03,7370043.42,190,QR90ST,2305925.01,268110000
8952441745,Ochieng,56672873,Asset Finance,KES,2022-06-25,2023-08-11,11.23,15093465.08,107941249.5,4363039.29,101,KL90MN,2193986.74,268110001
2749599942,Odhiambo,76529458,Retail,KES,2021-12-22,2023-05-26,12.34,11368720.54,41814093.37,7931058.62,30,WX56YZ,2918417.63,268110004
8389590407,Omondi,88815299,Asset Finance,KES,2022-11-27,2023-04-08,13.98,91098374.34,92375774.89,5041212.99,349,WX56YZ,3325928,268110002
1550307099,Ochieng,50214306,Term Loan,KES,2022-01-29,2023-08-03,12.39,87714460.44,39397886.5,8028231.04,139,CD56EF,3193278.71,268110001
7381649280,Achieng,92460277,Corporate,KES,2023-01-15,2022-12-10,14.39,79221935.52,43975702.43,6678870.31,265,KL90MN,2175708.05,268110003
2788106487,Wanjiku,53136035,Retail,KES,2021-08-01,2023-01-12,12.58,90027267.95,16390959.84,9416142.29,234,WX56YZ,1098263.85,268110001
1375944237,Achieng,99517962,Corporate,USD,2023-03-27,2023-07-26,11.9,26180467.87,88481577.28,8211155.5,253,OP12QR,515275.94,268110056
4982423742,Achieng,101098378,Corporate,KES,2021-06-04,2023-02-11,15.83,41227543.16,77653087.77,5061874.33,189,YZ34AB,3388753.96,268110003
5068073276,Ochieng,70728548,Corporate,USD,2021-12-15,2023-05-27,11.78,80532755.32,82327821.61,3242843.77,52,AB12CD,3083000.39,268110002
3686488562,Odhiambo,89622954,Asset Finance,KES,2022-06-27,2023-03-30,14.93,106482722.7,77676842.63,1301358.67,204,EF34GH,1026396.12,268110003
8829751276,Ochieng,67607171,Retail,KES,2022-05-23,2023-04-22,14.11,48047035.31,79275031.07,6240532.85,305,WX56YZ,3478417.21,268110000
9835711290,Auma,34658617,Asset Finance,USD,2022-08-12,2023-02-20,14.17,34474070.85,56125740.57,900723.05,198,EF34GH,3339936.4,268110005
3875209199,Njeri,2378383,Asset Finance,KES,2022-08-30,2022-12-23,13.57,64457264.88,99742944.87,4282826.54,268,WX56YZ,360921.55,268110002
8533274901,Mwangi,82362887,Corporate,KES,2021-01-30,2023-03-12,9.01,11355148.59,106912728.1,5029691.94,255,WX56YZ,1258234.56,268110000
2761732103,Omondi,78859704,Retail,KES,2021-05-08,2023-01-31,9.75,99364309.35,44686334.79,1232116.39,294,OP12QR,62259.55,268110005
5032241798,Wanjiku,35478980,Term Loan,USD,2023-02-03,2023-03-08,14.41,115442983.8,11764047.41,5008577.65,73,WX56YZ,1171029.98,268110005
68525947,Achieng,12558858,Asset Finance,KES,2023-02-10,2023-06-29,9.07,71631592.63,18616464.02,1474168.88,250,EF34GH,1774223.86,268110056
5553158195,Omondi,64535406,Corporate,KES,2022-05-04,2023-01-06,12.66,94874309.32,14333961.55,4489227.84,236,WX56YZ,1700677.77,268110000
2053406220,Ochieng,21838063,Term Loan,KES,2022-04-30,2023-03-23,10.55,20296839.2,39525970.51,7882150.11,353,OP12QR,400149.43,268110002
273852400,Odhiambo,88564543,Asset Finance,KES,2022-03-22,2023-04-09,15.98,33803596.99,32543629.51,5574613.19,230,WX56YZ,58961.36,268110002
3433249704,Auma,102795651,Retail,KES,2022-12-23,2023-09-06,15.12,5563699.27,116594256.5,9085099.13,58,QR90ST,478495.35,268110001
7440543163,Njeri,70325140,Corporate,KES,2022-04-19,2023-03-14,13.13,15527715.19,108860313.7,5856820.4,150,AB12CD,1790508.39,268110004
5466040763,Wanjiku,10485592,Term Loan,KES,2022-03-02,2023-02-27,9.43,96860822.77,27333511.76,5941590.66,21,AB12CD,3218535.3,268110004
7515432693,Odhiambo,98230898,Corporate,KES,2021-06-11,2023-08-27,13.39,89596621.25,105226247.5,8098653.45,4,OP12QR,138579.39,268110003
8182036094,Njeri,89761205,Retail,USD,2023-08-09,2023-03-12,10.32,77001953.76,94313252.25,1451253.72,150,CD56EF,2483714.15,268110056
3542367025,Achieng,21954910,Corporate,USD,2021-09-06,2023-04-04,11.77,36643614.11,28081071.82,1131166.78,198,WX56YZ,1837813.03,268110003
2176803858,Njeri,19180295,Retail,KES,2021-01-18,2023-09-11,14.62,52732777.82,18158810.46,9532010.88,215,KL90MN,112854.07,268110000
7674531659,Odhiambo,72502891,Corporate,KES,2023-07-15,2023-05-09,11.61,103738745.2,102191576.4,9260300.3,20,OP12QR,2566968.42,268110001
8652093728,Muthoni,104189780,Asset Finance,KES,2022-11-14,2023-03-18,12.15,10340445.75,70247645.75,8993531.85,90,WX56YZ,1073114.64,268110000
5961678101,Kamau,5390032,Corporate,KES,2022-08-28,2023-08-08,9.62,9671088.72,100244412.5,5701420.33,91,WX56YZ,38874.79,268110000
333884347,Wanjiku,4736839,Asset Finance,KES,2021-04-10,2023-05-29,9.91,31673636.82,23153569.4,4868004.12,104,WX56YZ,1007633.17,268110001
1272473716,Odhiambo,11567074,Corporate,KES,2022-06-20,2023-09-04,13.87,109485041.9,13847117.83,6859204.25,13,OP12QR,1781070.65,268110001
5283404400,Mwangi,114242617,Retail,KES,2023-07-08,2023-09-07,10.11,6067946.48,26127540.92,7452163.27,334,CD56EF,1740892.16,268110004
9644892264,Njeri,19908073,Corporate,USD,2023-06-28,2023-07-02,11.93,59432184.21,16418267.17,1822361.57,342,WX56YZ,1626377.91,268110002
6991539750,Ochieng,110789108,Retail,KES,2021-12-01,2023-05-28,11.54,55951187.68,87365814.73,2613634.4,92,MN78OP,850649.71,268110004
8352383113,Kamau,99976389,Asset Finance,KES,2023-02-23,2023-02-13,13.51,20319254.98,13217054.53,6592046.79,71,EF34GH,2622768.09,268110056
9232703953,Auma,27937862,Term Loan,USD,2023-08-20,2023-02-12,14.72,34515624.27,67474784.29,196445.84,277,EF90GH,3400702.35,268110002
7246704336,Kamau,26576989,Asset Finance,KES,2021-12-05,2023-05-03,13.58,112428629.8,72835616.68,5525177.51,58,OP12QR,3138972.02,268110002
6620859872,Omondi,88390887,Retail,KES,2021-02-23,2023-03-29,9.84,101435335.8,111972455.8,6485128.66,314,CD56EF,112386.78,268110000
997609173,Omondi,53675682,Corporate,KES,2021-07-10,2023-06-16,15.68,55596184.89,54803907.58,8008325.41,283,EF34GH,3457481.82,268110004
7961060285,Njeri,77928889,Asset Finance,KES,2022-12-07,2023-05-03,15.79,43011413.41,104146045.2,5776044.89,334,WX56YZ,1544851.1,268110003
